,Created At,Screen Name,Tweet,Location,Number of Retweet,Number of Like
0,2021-04-27 21:18:34,Danewwwww,@watashi_NoUso 😂😂😂😂 sesekali tiber,,0,0
1,2021-04-27 21:17:15,watashi_NoUso,@Danewwwww Kemain Dani sekarang,,0,0
2,2021-04-27 21:16:42,eddeFNBR,"@LiquidVeIa @tilfnbr ashita, watashi no namae wa eddie desu. fortnite ga sukijanai",,0,0
3,2021-04-27 21:13:44,watashi_NoUso,"@mangopft Yeay pat makan, kita dah tunggu kat katil ni, kata nak tidur sekali",,0,0
4,2021-04-27 21:12:13,ToastyBun_,watashi? https://t.co/GJgwVtdlOp,Sweden 🇸🇪,0,0
5,2021-04-27 20:58:54,miy4srize,watashi wa kurapika,📁 . . . → 森の 奥深く 迷い混んでてもᜑ SATOU❕差し込む朝日に夜明けお知る 🎸,0,1
6,2021-04-27 20:56:33,watashi_NoUso,RT @Dapoq_pdot: Ramadhan 2021 Day 15: Cucoq Jagung Manis https://t.co/jIDGbYB4pm,,371,0
7,2021-04-27 20:55:17,simply_sora,Konnichiwa. Watashi wa Sora desu. Hajimashite. #TheBot,,0,0
8,2021-04-27 20:54:52,watashi_NoUso,"@mangopft Burp alhamdulillah, Wayne tak makan ke? Kejut je Dorang sahur tu",,0,0
9,2021-04-27 20:52:53,shoyonunpoposu2,@DenizPo34362173 @Barann24122785 @watashi_wa_arda Shiplerim walla heheh,SA.YO.NA.RA,0,2
10,2021-04-27 20:36:22,watashi_NoUso,"@mangopft Saya dapat ni je, nah https://t.co/OZvWWRby2k",,0,0
11,2021-04-27 20:34:53,watashi__dakara,@LilUrekVert Pg Pg,"姫路城, Himeji-jō",0,0
12,2021-04-27 20:32:20,kangdaejin6,@JPFBASE Watashi psikopat 😥☝,,0,0
13,2021-04-27 20:29:25,mangopft,@watashi_NoUso Nak ayam goreng + nasi goreng kampung + tauhu bergedil 2 + sup kosong + kuah ayam masak merah sikit,KL-TM-KCH ,0,0
14,2021-04-27 20:29:25,ZackAvaricious,@mangopft @watashi_NoUso Im in perak😅,Flat Earth,0,0
15,2021-04-27 20:28:48,mangopft,@farfar9698 @watashi_NoUso Allahu jom lah rentas negeri ramai2,KL-TM-KCH ,0,0
16,2021-04-27 20:28:06,mangopft,@watashi_NoUso Cepat sikit lapar ni,KL-TM-KCH ,0,0
17,2021-04-27 20:19:43,mangopft,@watashi_NoUso BUT 1st DEKATKAN PERAK &amp; KELANTAN LU,KL-TM-KCH ,0,0
18,2021-04-27 20:18:25,watashi_NoUso,@mangopft Nak itot. Eleh cakap orang dia pun sama sksksks,,0,0
19,2021-04-27 20:06:53,HinamoriAmu_AR,Watashi wa Hinamori Amu... Yoroshiku nee~,#B3STFAMS,0,0
20,2021-04-27 20:02:01,caminub,Watashi wa kurapika,@slayss ♡,0,2
21,2021-04-27 19:49:11,sazomyosh,watashi,he || him,0,0
22,2021-04-27 19:46:48,watashi_NoUso,@Soffiq1 Aiyo jadi bego!,,0,0
23,2021-04-27 19:46:24,HalloGutten,@watashi_wa_arda @kanjoutekidesu Oi oi oi was dis dhen,Turkey,0,2
24,2021-04-27 19:45:18,steven_diamante,🎶WATASHI WA ANATA NI AITAKU NARU🎶 -Sincerely,sei lá,0,0
25,2021-04-27 19:43:14,watashi_NoUso,@najwanmatzali Nak ayam guring,,0,0
26,2021-04-27 19:42:10,najwanmatzali,@watashi_NoUso Nahh beder 🍔🍔,,0,0
27,2021-04-27 19:41:45,watashi_NoUso,"@najwanmatzali Tatau lagi, suap sikit",,0,0
28,2021-04-27 19:41:22,ioiosano,@jojo_rama_ Watashi ga Motete Dousunda,,0,2
29,2021-04-27 19:41:00,najwanmatzali,@watashi_NoUso Cukup! Panpan sahur apa,,0,0
30,2021-04-27 19:39:48,evtniyetoplandk,@watashi_wa_arda SLSMLSŞSÖSMSKZŞÖSN,,0,1
31,2021-04-27 19:37:49,watashi_NoUso,@najwanmatzali Cukup ke,,0,0
32,2021-04-27 19:35:42,watashi_NoUso,@najwanmatzali Najwan sahur apa,,0,0
33,2021-04-27 19:32:58,najwanmatzali,@watashi_NoUso Hehe panpan pun pandai *pats,,0,0
34,2021-04-27 19:29:22,ioiosano,@nicojonatas Watashi ga Motete Dousunda,,0,0
35,2021-04-27 19:29:13,ioiosano,@moisesdias11 Watashi ga Motete Dousunda,,0,1
36,2021-04-27 19:28:56,twelvebesties,@aeongsbae watashi nomae wa issa desu,,0,0
37,2021-04-27 19:26:45,watashi_NoUso,@najwanmatzali Pat pat pandai najwan,,0,1
38,2021-04-27 19:26:18,najwanmatzali,"@watashi_NoUso Takpe, najwan kuat",,0,1
39,2021-04-27 19:23:37,najwanmatzali,@watashi_NoUso Pukul lapeyy,,0,0
40,2021-04-27 19:23:17,watashi_NoUso,Semua ngorat Wayne 😂,,1,2
41,2021-04-27 19:23:15,watashi_NoUso,@najwanmatzali Pukul berapa?,,0,0
42,2021-04-27 19:17:55,watashi_NoUso,@najwanmatzali Ada kelas tak esok,,0,0
43,2021-04-27 19:17:24,najwanmatzali,@watashi_NoUso sahoq dulu,,0,0
44,2021-04-27 19:11:58,bitofsoiree,@shidesam @ZXOLDYC watashi cuma joking :vVvvVv kok angry,In the realms of day and night,1,0
45,2021-04-27 19:09:14,noturbaguettes,"RT @Jhordanasetia: @JPFBASE Bu- bukanNya aku su-suki kore anime y-ya &gt;\\\&lt;  aku c-cuma kepencet ba-baka

Anjaayy Gercep gan watashi minta k…",✿,0,0
46,2021-04-27 19:07:32,bitofsoiree,"@shidesam @ZXOLDYC eh my besto furendo kemana, kok watashi ga liat dari kemaren",In the realms of day and night,0,0
47,2021-04-27 18:53:14,IS_TiffanyGG,"Atarashii machi de notta
Densha no mado utsutta
Fuan-souna me wo shita watashi wa ##Tiffany",Seoul,0,0
